"","date","text","doc_id"
"1",2023-11-08,": После нескольких месяцев тяжелых потерь в застопорившемся контрнаступлении, напряженность между высшими руководителями Украины ""неловко выплеснулась наружу"".

""После 20 месяцев тотальной войны в ранее непоколебимом национальном единстве Украины начинают проявляться общественные разногласия. Вопрос о тупиковой ситуации особенно чувствителен, поскольку украинские чиновники опасаются, что предполагаемый тупик может означать, что на них будут оказывать давление в переговорах с Россией, которые вынудят их уступить территорию"", - пишет издание.

На фоне этих процессов ""правительству Зеленского становится все труднее убедить даже близких союзников в том, что нужно поставить еще больше оружия, денег и других ресурсов, чтобы отбросить российские войска"".

На Западе охотно перемалывают кости украинской власти, формируя правильное отношение читателей к вопросу☝🏻",1
"2",2023-11-08,"📩 Уважаемая ЗеРада, Приветствую вас из Киева!

Недавно я натолкнулся на видео в  с высказываниями Жириновского о крахе Украины в ближайшем будущем. Наблюдая за происходящими процессами в стране, такими как разрушенная экономика, демографическая яма, разрушение энергетической инфраструктуры, поощрение раскола общества на различные группы, а также катастрофическая мобилизация и другие явления, возникает вопрос о том, каковы шансы на будущее Украины? Возможно ли исчезновение Украины с политической карты мира и ее раздел между соседними странами в ближайшие 5 лет? Или существует некая выгода для игроков в сохранении государства Украина, учитывая интересы Европы и США, а также особенности России и ее отношение к населению на территории Украины, которое может быть враждебно настроено?
Большое вам спасибо за вашу работу!

Самые заинтересованные в сохранении Второй Украинской Республики (если быть окончательно точным) это хозяева активов, которые находятся в её юрисдикции, т.е.  и Ахметов. 

Так вот их интересы разошлись недавно с Зе, который отказался сохранять её путем подписания мирного соглашения, ставящего крест на его амбициях. 

Именно , Ахметов и ко, представляли партию «голубей» с той стороны, о которых мы вчера писали. Они то понимают, что чем дольше война - тем меньше их активы стОят, а возможно вообще будут разрушены или перейдут в рос. юрисдикцию, как ЗАЭС☝🏻",2
"3",2023-11-08,"🎥🧩🎥 Свободовцы по классике отрабатывают на власть

Или вы думали, что Фарион просто так ТРИЖДЫ покусилась на ""святое"" - военных и азовцев❓

Баба Фара упорота мощно, но называть ВО ВРЕМЯ ВОЙНЫ русскоязычных ВОЕННЫХ быдломассой, суками и падлой - перегиб даже для неё☝️

Стандартная претензия к властям, которую озвучиваем в том числе и мы, что они попустительствуют нарушениям Конституции и Законов, касательно дискриминации по языковому и религиозному признакам. Плюс тему начал монополизировать Арестович, лицемерно ""защищающий"" то таксиста, то военных, говорящих на русском.

А теперь у власти есть возможность ""героически спасти"" русскоязычных от Фарион. Выступили уже и Арахамия, и омбудсмен Лубенец. Возможны даже показательные возбуждения уголовных дел, чтобы Зе смог лично заявить как активно при нём защищаются права ВСЕХ украинцев.

В целом - забивание повестки и стандартный круговорот лицемерия. Одни права нарушают, другие ""защищают"", третьи ""поддерживают"", пипл внемлет - все при деле🤷‍♂️",3
"4",2023-11-07,"🧩🧩🧩 Интегральный анализ (часть 2)

После провала наступления американские «голуби» начали намекать Зе, что уже пора думать про переговоры. Зеленский сделал вид, что намёк не понял, тогда в Вашингтоне решили обложить Зе «фишками», чтобы он стал сговорчивее и шёл по проторенной дорожке. 

Для начала скандал с Резниковым должен был убедить Зе, что пора соглашаться. 

Затем Блинкен привёз в Киев Маркарову и предложил назначить её Премьер-Министром, чтобы перераспределить финансовые потоки страны, лишив Банковую ресурса. Во время визита в Вашингтон в сентябре Зеленский должен был подтвердить это решение лично Байдену, а чтобы простимулировать Киев Вашингтон запросил отчёт по выделенным финансам. 

Отказ Байдена даже от короткого брифинга по итогам той встречи с Зе - самое красноречивое свидетельств результатов. Байдена вежливо послали. 

США не сдались: поставили финансирование Украины на паузу и прислали в место Маркаровой Прицкер с полномочиями Счетной Палаты. 

А когда стало понятно, что Зе и на это не пошёл, США включили режим «выборы». 

Зеленский красиво потанцевал с ними это танго, подыграв им: разные спикеры власти публично рассуждали про возможность выборов, выигрывая таким образом ещё время для Зеленского.

Зе тянет время для того, чтобы Байден вступил в предвыборную кампанию, т.к. на Банковой уверены, что как только начнётся активная предвыборная кампания в США, Байден не сможет позволить себе неудачи на украинском фронте, и будет вынужден активнее помогать Киеву. 

Кроме того Зеленский сможет начать переговоры с Трампом и подыграть ему. Реально: рассматривается и такая опция. 

Как только американцы поняли, что Зеленский их опять кинул, и выборов не будет (примерно две недели назад) «голуби» включили проект Арестович, который начал обрушать рейтинг Зеленского (типа в рамках предвыборной кампании). 

Ермак отдавал себе отчет, что так долго нельзя и закрыл вчера тему с выборами. 

Теперь Арестович будет вынужден критиковать верховного главнокомандующего воюющей страны, а не кандидата на второй срок.",4
"5",2023-11-07,"🧩🧩🧩 Интегральный анализ (часть 1)

Мы подготовили детальную раскладку и описание политических процессов, а также мотивов основных участников, чтобы вам были лучше понятны события, которые сейчас так активно происходят. Выйдет в нескольких постах и ещё будет прогноз. 
 
Понятийный ряд. 

«Абрамовичи» или «голуби» - часть западных и российских элит, которые считают, что ни одна из сторон не сможет получить решительного превосходства на поле боя. Соответственно, продолжение войны - пустая трата ресурсов сторон, что приводит к относительному увеличению роли КНР, Индии и других стран. Венесуэла - хороший пример. Поэтому войну необходимо закончить, как можно быстрее, найдя точку равновесия. Эта часть элит была очень близка к соглашению в апреле 2022 года, но тогда игру им сломали «ястребы» или «Джонсоны». 

После неудачного наступления ВСУ «голуби» усилили свои позиции, получили новые аргументы и предложили новый эквилибриум. 

Диспозиция. 

🇺🇸 Мы продолжаем считать США наиболее влиятельным актором украинского конфликта. Да, их влияние посредственно и имеет некие ограничения, но давать или не давать , -16, деньги, правильно настраивать союзников, возбуждать анти-властные настроения в украинском обществе - всё это прерогатива США. На данный момент в элитах США есть консенсус насчёт того, что учитывая устойчивость РФ, получить больше от войны в Украине, чем они уже получили - не удастся. 

Они понимают, что дальше их ждут только территориальные потери в Украине, но что самое плохое: пока идет война РФ вынуждена ускоренно приближается с Китаем.

Кроме того мощным катализатором заморозки, который усилил позиции «голубей» стал Ближний Восток. Две войны - слишком большие риски.

Плюс ко всему, по нашей информации, союзники из ЕС начинают просить администрацию Байдена активнее давить на Зеленского. Война помогает расти их политическим оппонентам - евроскептикам, которые всё активнее критикуют помощь Украине и выдавливают клиентеллу демократов с европейского политического театра☝🏻

🇷🇺 Тем временем РФ продолжает умеренную милитаризацию экономики, наращивает производство дронов, активно интегрируют новые регионы. 

На данном этапе в РФ считают адекватными территориальные и демографические приобретения относительно затраченных ресурсов. Они готовы к переговорам на условиях условно: «текущая линия, минус НАТО, плюс ЕС, плюс гарантий безопасности для Украины».

Это также устраивает Белый Дом, который сможет сказать, что Путин не получил всю Украину, а то что Киев решил не воевать дальше за «Бердянск» - решение украинских властей. Эта модель была предложена «абрамовичами», как некая точка равновесия.

При этом наши конфиденты в России уверены, что ситуация в динамике в их пользу. Запад пока медленнее ожидаемого наращивает производство вооружения, общество откровенно устаёт от войны, выборы в США всё ближе. Поэтому они готовы, либо подписываться сейчас, либо позже, но на более выгодных условиях. 

🇺🇦 Весь этот мирный план «голубей» упёрся в фигуру Зеленского, который не собирается брать на себя даже не политическую, а уже историческую ответственность и за свой счет спасать второй срок Байдена 🧩",5
"6",2023-11-07,"🤦‍♂️ Се ля ви 

Вот так вот, обсераешь соросят каждый день по 7 раз, виня их во всех грехах, а потом любимый шеф с Соросом встречается, а у тебя контракт: шефа «пушить» каждый день… и тут ты (типа антиглобалист) выдашь что-то нейтральное, но как всегда возвеличивающее великого Ермака. 

Пост, вероятно, в зачёт таки пойдет, но, судя по комментам, секта не оценила манёвр главаря.

Это фиаско, братан 😎",6
"7",2023-11-07,"⚡️ Вот и Ближний Восток разогревается ☝🏻

://./_/60257",7
"8",2023-11-07,"🤦‍♂️ Вначале удивлялся тому, что власть упорно гнёт достаточно тупую версию про то, что адъютант Главкома дал ребенку гранату поиграть, а все кто сомневается в этой «чудо» версии - агенты Кремля, а потом вспомнил вертолет, в котором погибло всё руководство МВД, а потом покушение на Шефира со смертельно раненным в ногу водителем и поисками ДРГ. 

Ну если людям заходят такие версии, то почему нет 🤷",8
"9",2023-11-07,"⚡️🇺🇦⚡️ Данилов выдает черную метку Залужному: ""Людям, которые не верят в победу, не место во власти и командовании"".

""Воля – основа борьбы. Уверенность в Победе и ценности Свободы – абсолютный императив. Если россиянам не удалась молниеносная война, почему должна удастся затяжная? Основание для поражения никуда не исчезло"", - рассуждает Данилов.

Явный ответ на статью и интервью Залужного западной прессе ‼️",9
"10",2023-11-07,"🤦‍♂️ Ермак и Сорос 

Ермак обнял и поблагодарил Сороса младшего. 

Настоящая подножка ермасятам, которые днем и ночью распинают Сороса за: 

✅ уничтожение медицины;
✅ Уничтожение образования;
✅ гей-парады;
✅ уничтожение гос. компетенций и т.д.

Кто тусуется в их чатах, поспрашивайте пожалуйста про это фото. Интересно, что скажут😎",10
